Position_x,Name + ID,Name,Id,Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Name_y,Position_y,Team,ProjPts,ProjOwn,merge_time
WR,Ja'Marr Chase (36784453),Ja'Marr Chase,36784453,WR/FLEX,8600,PIT@CIN 12/01/2024 01:00PM ET,CIN,23.7,Ja'Marr Chase,WR,Bengals,19.15,4.5,2024-11-29 19:13:43
RB,Saquon Barkley (36784243),Saquon Barkley,36784243,RB/FLEX,8500,PHI@BAL 12/01/2024 04:25PM ET,PHI,26.17,Saquon Barkley,RB,Eagles,19.79,8.6,2024-11-29 19:13:43
WR,A.J. Brown (36784455),A.J. Brown,36784455,WR/FLEX,8300,PHI@BAL 12/01/2024 04:25PM ET,PHI,18.46,A.J. Brown,WR,Eagles,17.12,7.6,2024-11-29 19:13:43
WR,Justin Jefferson (36784457),Justin Jefferson,36784457,WR/FLEX,8100,ARI@MIN 12/01/2024 01:00PM ET,MIN,17.74,Justin Jefferson,WR,Vikings,19.93,9.3,2024-11-29 19:13:43
RB,Joe Mixon (36784245),Joe Mixon,36784245,RB/FLEX,8000,HOU@JAX 12/01/2024 01:00PM ET,HOU,23.13,Joe Mixon,RB,Texans,21.27,11.1,2024-11-29 19:13:43
QB,Lamar Jackson (36784177),Lamar Jackson,36784177,QB,8000,PHI@BAL 12/01/2024 04:25PM ET,BAL,26.0,Lamar Jackson,QB,Ravens,21.37,1.4,2024-11-29 19:13:43
WR,Nico Collins (36784459),Nico Collins,36784459,WR/FLEX,7900,HOU@JAX 12/01/2024 01:00PM ET,HOU,20.76,Nico Collins,WR,Texans,21.17,12.5,2024-11-29 19:13:43
RB,Derrick Henry (36784247),Derrick Henry,36784247,RB/FLEX,7800,PHI@BAL 12/01/2024 04:25PM ET,BAL,21.59,Derrick Henry,RB,Ravens,21.57,4.8,2024-11-29 19:13:43
RB,Alvin Kamara (36784249),Alvin Kamara,36784249,RB/FLEX,7700,LAR@NO 12/01/2024 04:05PM ET,NO,20.5,Alvin Kamara,RB,Saints,22.13,24.6,2024-11-29 19:13:43
QB,Jalen Hurts (36784178),Jalen Hurts,36784178,QB,7700,PHI@BAL 12/01/2024 04:25PM ET,PHI,22.97,Jalen Hurts,QB,Eagles,21.42,2.7,2024-11-29 19:13:43
WR,Puka Nacua (36784461),Puka Nacua,36784461,WR/FLEX,7600,LAR@NO 12/01/2024 04:05PM ET,LAR,17.03,Puka Nacua,WR,Rams,19.37,11.3,2024-11-29 19:13:43
RB,Breece Hall (36784251),Breece Hall,36784251,RB/FLEX,7500,SEA@NYJ 12/01/2024 01:00PM ET,NYJ,17.3,Breece Hall,RB,Jets,19.91,6.8,2024-11-29 19:13:43
WR,Cooper Kupp (36784463),Cooper Kupp,36784463,WR/FLEX,7400,LAR@NO 12/01/2024 04:05PM ET,LAR,21.4,Cooper Kupp,WR,Rams,17.53,10.7,2024-11-29 19:13:43
RB,Bijan Robinson (36784253),Bijan Robinson,36784253,RB/FLEX,7300,LAC@ATL 12/01/2024 01:00PM ET,ATL,18.84,Bijan Robinson,RB,Falcons,21.04,16.6,2024-11-29 19:13:43
QB,Jayden Daniels (36784179),Jayden Daniels,36784179,QB,7200,TEN@WAS 12/01/2024 01:00PM ET,WAS,20.18,Jayden Daniels,QB,Commanders,19.55,2.1,2024-11-29 19:13:43
RB,Kyren Williams (36784255),Kyren Williams,36784255,RB/FLEX,7200,LAR@NO 12/01/2024 04:05PM ET,LAR,16.98,Kyren Williams,RB,Rams,17.61,14.7,2024-11-29 19:13:43
WR,Terry McLaurin (36784465),Terry McLaurin,36784465,WR/FLEX,7100,TEN@WAS 12/01/2024 01:00PM ET,WAS,15.96,Terry McLaurin,WR,Commanders,13.51,1.6,2024-11-29 19:13:43
QB,Joe Burrow (36784180),Joe Burrow,36784180,QB,7000,PIT@CIN 12/01/2024 01:00PM ET,CIN,23.38,Joe Burrow,QB,Bengals,21.02,5.2,2024-11-29 19:13:43
RB,Kenneth Walker III (36784257),Kenneth Walker III,36784257,RB/FLEX,7000,SEA@NYJ 12/01/2024 01:00PM ET,SEA,18.19,Kenneth Walker III,RB,Seahawks,14.74,12.8,2024-11-29 19:13:43
WR,Davante Adams (36784467),Davante Adams,36784467,WR/FLEX,7000,SEA@NYJ 12/01/2024 01:00PM ET,NYJ,13.46,Davante Adams,WR,Jets,13.64,5.4,2024-11-29 19:13:43
RB,Jonathan Taylor (36784259),Jonathan Taylor,36784259,RB/FLEX,6900,IND@NE 12/01/2024 01:00PM ET,IND,15.21,Jonathan Taylor,RB,Colts,15.45,13.1,2024-11-29 19:13:43
WR,Garrett Wilson (36784469),Garrett Wilson,36784469,WR/FLEX,6900,SEA@NYJ 12/01/2024 01:00PM ET,NYJ,16.52,Garrett Wilson,WR,Jets,13.76,5.9,2024-11-29 19:13:43
RB,J.K. Dobbins (36784261),J.K. Dobbins,36784261,RB/FLEX,6800,LAC@ATL 12/01/2024 01:00PM ET,LAC,15.64,J.K. Dobbins,RB,Chargers,11.53,0.0,2024-11-29 19:13:43
WR,George Pickens (36784471),George Pickens,36784471,WR/FLEX,6800,PIT@CIN 12/01/2024 01:00PM ET,PIT,13.27,George Pickens,WR,Steelers,14.87,11.4,2024-11-29 19:13:43
